The second linear model has 1 hidden layer with 2 neurons. The same data is used as above.
The training performance is as follows:
Epoch: 294, Loss: 843.658, Time Elapsed: 46 milliseconds
Epoch: 295, Loss: 809.262, Time Elapsed: 47 milliseconds
Epoch: 296, Loss: 776.339, Time Elapsed: 49 milliseconds
Epoch: 297, Loss: 744.823, Time Elapsed: 45 milliseconds
Epoch: 298, Loss: 714.652, Time Elapsed: 46 milliseconds
Epoch: 299, Loss: 685.767, Time Elapsed: 46 milliseconds
Epoch: 300, Loss: 658.113, Time Elapsed: 48 milliseconds
Epoch: 301, Loss: 631.634, Time Elapsed: 45 milliseconds
Epoch: 302, Loss: 606.28, Time Elapsed: 55 milliseconds
Epoch: 303, Loss: 582.001, Time Elapsed: 47 milliseconds
Epoch: 304, Loss: 558.75, Time Elapsed: 49 milliseconds
Epoch: 305, Loss: 536.482, Time Elapsed: 47 milliseconds
Epoch: 306, Loss: 515.155, Time Elapsed: 46 milliseconds
Epoch: 307, Loss: 494.728, Time Elapsed: 46 milliseconds
Epoch: 308, Loss: 475.16, Time Elapsed: 51 milliseconds
Epoch: 309, Loss: 456.416, Time Elapsed: 46 milliseconds
Epoch: 310, Loss: 438.459, Time Elapsed: 47 milliseconds
Epoch: 311, Loss: 421.255, Time Elapsed: 46 milliseconds
Epoch: 312, Loss: 404.771, Time Elapsed: 50 milliseconds
Epoch: 313, Loss: 388.976, Time Elapsed: 46 milliseconds
Epoch: 314, Loss: 373.84, Time Elapsed: 46 milliseconds
Epoch: 315, Loss: 359.336, Time Elapsed: 46 milliseconds
Epoch: 316, Loss: 345.435, Time Elapsed: 52 milliseconds
Epoch: 317, Loss: 332.111, Time Elapsed: 51 milliseconds
Epoch: 318, Loss: 319.34, Time Elapsed: 47 milliseconds
Epoch: 319, Loss: 307.098, Time Elapsed: 54 milliseconds
Epoch: 320, Loss: 295.362, Time Elapsed: 50 milliseconds
Epoch: 321, Loss: 284.11, Time Elapsed: 47 milliseconds
Epoch: 322, Loss: 273.322, Time Elapsed: 46 milliseconds
Epoch: 323, Loss: 262.977, Time Elapsed: 45 milliseconds
Epoch: 324, Loss: 253.058, Time Elapsed: 49 milliseconds
Epoch: 325, Loss: 243.545, Time Elapsed: 45 milliseconds
Epoch: 326, Loss: 234.421, Time Elapsed: 50 milliseconds
Epoch: 327, Loss: 225.669, Time Elapsed: 50 milliseconds
Epoch: 328, Loss: 217.275, Time Elapsed: 53 milliseconds
Epoch: 329, Loss: 209.222, Time Elapsed: 45 milliseconds
Epoch: 330, Loss: 201.496, Time Elapsed: 46 milliseconds
Epoch: 331, Loss: 194.083, Time Elapsed: 46 milliseconds
Epoch: 332, Loss: 186.971, Time Elapsed: 51 milliseconds
Epoch: 333, Loss: 180.145, Time Elapsed: 46 milliseconds
Epoch: 334, Loss: 173.594, Time Elapsed: 46 milliseconds
Epoch: 335, Loss: 167.307, Time Elapsed: 45 milliseconds
Epoch: 336, Loss: 161.272, Time Elapsed: 49 milliseconds
Epoch: 337, Loss: 155.479, Time Elapsed: 47 milliseconds
Epoch: 338, Loss: 149.918, Time Elapsed: 47 milliseconds
Epoch: 339, Loss: 144.578, Time Elapsed: 45 milliseconds
Epoch: 340, Loss: 139.451, Time Elapsed: 47 milliseconds
Epoch: 341, Loss: 134.527, Time Elapsed: 47 milliseconds
Epoch: 342, Loss: 129.799, Time Elapsed: 47 milliseconds
Epoch: 343, Loss: 125.257, Time Elapsed: 48 milliseconds
